url	status	content_type	final_url
https://jump.ai/	200	text/html; charset=utf-8	https://jump.ai/
https://jump.ai/integrations	200	text/html; charset=utf-8	https://jump.ai/integrations
https://jump.ai/tour	200	text/html; charset=utf-8	https://jump.ai/tour
https://jump.ai/pricing	200	text/html; charset=utf-8	https://jump.ai/pricing
https://jump.ai/demo	200	text/html; charset=utf-8	https://jump.ai/demo
https://jump.ai/company	200	text/html; charset=utf-8	https://jump.ai/company
https://jump.ai/careers	200	text/html; charset=utf-8	https://jump.ai/careers
https://jump.ai/advisor-trends	200	text/html; charset=utf-8	https://jump.ai/advisor-trends
https://jump.ai/in-the-news	200	text/html; charset=utf-8	https://jump.ai/in-the-news
https://jump.ai/press-releases	200	text/html; charset=utf-8	https://jump.ai/press-releases
https://jump.ai/press	200	text/html; charset=utf-8	https://jump.ai/press
https://jump.ai/privacy-policy	200	text/html; charset=utf-8	https://jump.ai/privacy-policy
https://jump.ai/terms-of-service	200	text/html; charset=utf-8	https://jump.ai/terms-of-service
https://jump.ai/msa	200	text/html; charset=utf-8	https://jump.ai/msa
https://jump.ai/blog	200	text/html; charset=utf-8	https://jump.ai/blog
https://jump.ai/blog/security-and-compliance	200	text/html; charset=utf-8	https://jump.ai/blog/security-and-compliance
https://jump.ai/blog/introducing-AI-associate	200	text/html; charset=utf-8	https://jump.ai/blog/introducing-AI-associate
https://jump.ai/blog/jump-launches-ai-associate-an-intelligent	200	text/html; charset=utf-8	https://jump.ai/blog/jump-launches-ai-associate-an-intelligent
https://jump.ai/blog/jump-expands-ai-operating-system-for-advisors-with-new-products-powering-growth-and-operations	200	text/html; charset=utf-8	https://jump.ai/blog/jump-expands-ai-operating-system-for-advisors-with-new-products-powering-growth-and-operations
https://jump.ai/blog/jump-unveils-new-ai-powered-account-opening-and-workflow-innovations-for-advisors	200	text/html; charset=utf-8	https://jump.ai/blog/jump-unveils-new-ai-powered-account-opening-and-workflow-innovations-for-advisors
https://jump.ai/blog/series-b-announcement	200	text/html; charset=utf-8	https://jump.ai/blog/series-b-announcement
https://jump.ai/blog/jump-series-b	200	text/html; charset=utf-8	https://jump.ai/blog/jump-series-b
https://jump.ai/blog/jump-closes-20-million-series-a-funding-round-led-by-battery-ventures	200	text/html; charset=utf-8	https://jump.ai/blog/jump-closes-20-million-series-a-funding-round-led-by-battery-ventures
https://jump.ai/blog/jump-announces-selection-to-lpl-financial-vendor-affinity-program	200	text/html; charset=utf-8	https://jump.ai/press/jump-announces-selection-to-lpl-financial-vendor-affinity-program
https://jump.ai/advisor-trends/artificial-intelligence/jump-vs-zocks	200	text/html; charset=utf-8	https://jump.ai/advisor-trends/artificial-intelligence/jump-vs-zocks
https://jump.ai/operating-system/ai-associate	200	text/html; charset=utf-8	https://jump.ai/operating-system/ai-associate
https://jump.ai/security	200	text/html; charset=utf-8	https://jump.ai/security
https://jump.ai/help	200	text/html; charset=utf-8	https://jump.ai/help
